ID,birthdate,marital_status,car_use,gender,kids_driving,parent,education,car_make,car_model,car_color,car_year,claim_freq,coverage_zone,claim_amt,household_income
94-8519027,3/3/1995,Single,Private,Female,0,No,Bachelors,Toyota,Sienna,Crimson,1998,0,Rural,$37177.03,$114029.60
50-9645161,2/11/1963,Married,Commercial,Female,0,No,Bachelors,Mercury,Tracer,Violet,1991,0,Highly Urban,$35275.91,$237137.90
09-5767855,12/24/1987,Married,Private,Male,0,No,Bachelors,GMC,Sonoma,Red,1992,0,Suburban,$94087.70,$75046.72
70-6498476,9/29/1984,Married,Private,Female,2,Yes,Bachelors,Mercury,Grand Marquis,Violet,1991,1,Suburban,$81487.88,$149102.73
42-8494417,10/15/1962,Single,Private,Female,0,No,Bachelors,Cadillac,XLR,Goldenrod,2007,2,Urban,$16663.14,$49368.49
65-1288139,12/24/1974,Single,Private,Female,0,Yes,High School,Infiniti,G,Purple,2009,0,Suburban,$34632.73,$170812.36
85-2441049,3/21/1977,Single,Commercial,Female,1,Yes,High School,Acura,RL,Indigo,2004,0,Highly Urban,$12352.31,$211632.90
29-4053017,5/5/1992,Single,Private,Female,0,No,Masters,Ford,Explorer,Purple,1998,1,Highly Urban,$61981.93,$72131.22
43-2101859,2/21/1954,Single,Private,Female,0,No,Bachelors,Mitsubishi,Chariot,Teal,1989,0,Highly Rural,$74331.57,$153014.72
01-0198508,3/4/1997,Single,Commercial,Female,1,Yes,High School,Jeep,Liberty,Mauv,2005,0,Highly Rural,$72695.36,$121959.38
99-3962062,5/20/1954,Single,Private,Male,0,No,Bachelors,Hyundai,Azera,Violet,2007,2,Highly Rural,$51619.72,$63175.49
87-2892682,10/7/1979,Single,Private,Female,0,No,Bachelors,Honda,CR-V,Teal,1999,0,Urban,$7488.22,$100435.37
27-5399306,12/22/1979,Single,Private,Female,1,Yes,Bachelors,Chevrolet,Malibu Maxx,Blue,2006,0,Suburban,$65463.20,$201709.15
53-3987035,10/27/1993,Single,Private,Male,1,Yes,Bachelors,Hummer,H1,Pink,2000,3,Highly Urban,$31695.59,$169446.23
63-0675137,3/8/1952,Divorced,Private,Male,0,No,Bachelors,Dodge,Ram Van B150,Yellow,1992,0,Suburban,$77405.86,$226961.76
76-1948390,3/27/2000,Single,Commercial,Male,0,Yes,High School,Toyota,Venza,Purple,2012,0,Suburban,$34175.77,$46864.01
48-3674758,6/2/1983,Single,Private,Male,0,No,High School,Mercury,Sable,Aquamarine,2008,0,Highly Rural,$1420.70,$208753.83
93-8529151,11/7/1979,Single,Private,Female,0,No,Bachelors,Acura,MDX,Turquoise,2007,0,Highly Rural,$54508.54,$78478.85
59-0290021,1/6/1979,Single,Private,Male,0,No,PhD,Dodge,Avenger,Aquamarine,2000,3,Urban,$43324.94,$169737.42
14-1809078,5/25/1982,Married,Commercial,Male,0,No,Bachelors,BMW,M3,Orange,2008,1,Rural,$63032.31,$217736.88
43-5465564,7/11/1962,Married,Private,Female,0,No,Bachelors,Toyota,Sienna,Pink,2004,0,Suburban,$43342.20,$169675.01
35-0500873,2/17/1989,Divorced,Commercial,Female,0,Yes,Bachelors,Hyundai,Tucson,Fuscia,2007,0,Urban,$99736.72,$89871.49
60-3518727,12/13/1968,Single,Private,Male,1,Yes,Bachelors,Toyota,Corolla,Crimson,1999,0,Suburban,$2993.41,$86583.59
23-1968341,11/11/1956,Married,Private,Male,1,Yes,Bachelors,Ford,Ranger,Green,2000,0,Highly Urban,$65048.32,$139800.04
02-3289389,8/10/1995,Single,Private,Female,0,Yes,Bachelors,Chrysler,LHS,Orange,1996,4,Urban,$53851.93,$196116.24
92-5888311,12/24/1985,Married,Private,Male,2,Yes,Bachelors,Dodge,Intrepid,Puce,2002,0,Highly Rural,$11863.56,$156985.48
40-3143068,4/7/1999,Single,Private,Female,0,No,Masters,Mazda,626,Aquamarine,1990,0,Highly Rural,$36988.17,$83474.58
60-8141752,5/4/1971,Divorced,Private,Male,1,Yes,Bachelors,Honda,Accord,Aquamarine,2001,0,Highly Rural,$77582.70,$63698.66
56-5318668,6/18/1960,Single,Private,Female,2,Yes,Bachelors,Infiniti,QX,Blue,1998,0,Suburban,$53046.03,$133526.33
54-9323340,3/17/1994,Married,Private,Male,1,Yes,High School,Mitsubishi,Pajero,Goldenrod,2006,0,Suburban,$25978.56,$61959.17
44-4584265,4/20/1965,Single,Commercial,Female,0,Yes,High School,Cadillac,Seville,Green,2001,0,Suburban,$86171.53,$81276.34
55-2483795,12/6/1974,Divorced,Private,Female,0,No,Masters,Subaru,Legacy,Maroon,1995,0,Rural,$76227.80,$162239.93
61-9183901,6/29/1985,Single,Commercial,Female,0,No,Bachelors,Buick,Skylark,Orange,1998,0,Highly Rural,$93639.21,$201651.74
51-6510678,4/26/1999,Single,Private,Male,0,Yes,High School,Peugeot,207,Red,2006,4,Highly Rural,$70429.01,$131925.00
93-8260284,12/18/1982,Married,Commercial,Male,0,No,Masters,Mazda,Protege,Pink,2002,0,Urban,$65661.89,$99113.78
45-5904869,9/24/1990,Single,Private,Male,0,No,High School,Saab,900,Blue,1996,1,Highly Urban,$86134.02,$62178.43
71-2692981,10/30/1990,Married,Commercial,Male,2,Yes,Bachelors,Audi,A6,Maroon,1996,0,Highly Rural,$54478.29,$223983.03
51-5543423,2/25/1969,Single,Private,Male,0,Yes,Bachelors,Nissan,Altima,Red,2005,0,Urban,$63647.61,$135661.64
86-7382411,10/4/1956,Married,Private,Male,0,No,Bachelors,Dodge,Charger,Indigo,2006,0,Urban,$67102.08,$56011.79
29-7209296,1/20/1963,Single,Private,Female,1,Yes,High School,GMC,Savana 2500,Fuscia,2004,0,Rural,$96372.83,$129721.39
59-0460420,7/1/1962,Single,Private,Male,0,No,High School,Mercury,Capri,Maroon,1985,0,Suburban,$18171.53,$197838.32
48-5437456,3/12/1987,Single,Private,Female,0,No,Bachelors,Mazda,MPV,Khaki,1990,0,Rural,$84532.68,$209736.40
96-7920038,7/10/1976,Single,Commercial,Female,0,No,Bachelors,GMC,Canyon,Turquoise,2004,0,Highly Rural,$66693.65,$101878.14
09-7188299,6/17/1977,Married,Private,Female,0,No,Bachelors,Saab,9-7X,Crimson,2009,0,Highly Rural,$20200.65,$50801.04
55-3978042,2/2/1989,Single,Commercial,Male,0,No,Bachelors,BMW,5 Series,Purple,2006,2,Urban,$82556.69,$185472.55
11-7985518,9/23/1979,Married,Private,Male,0,No,Masters,BMW,M5,Crimson,2000,0,Rural,$58852.14,$74426.17
84-5362206,4/16/1991,Single,Private,Female,0,Yes,High School,Land Rover,Discovery,Crimson,2005,1,Rural,$54043.70,$51521.47
10-7354185,7/21/1960,Single,Private,Female,0,No,Masters,Mercedes-Benz,C-Class,Maroon,2008,0,Urban,$44974.03,$249384.06
47-9547849,12/18/1971,Single,Private,Female,0,Yes,High School,Dodge,Magnum,Teal,2005,3,Highly Rural,$13179.51,$86905.13
30-5374773,4/20/2000,Divorced,Private,Female,1,Yes,Bachelors,Mercury,Mountaineer,Fuscia,1999,0,Urban,$74252.45,$205914.45
61-0863721,1/2/1976,Married,Private,Male,1,Yes,Bachelors,Audi,S4,Violet,1992,0,Suburban,$87682.44,$75006.72
49-5065429,7/17/1961,Married,Commercial,Female,1,Yes,Bachelors,Jaguar,XJ Series,Khaki,2003,1,Urban,$53781.69,$172561.19
77-1542204,7/4/1967,Married,Private,Male,3,Yes,High School,GMC,Sierra 1500,Fuscia,2006,0,Highly Urban,$72194.84,$50366.94
15-6109715,12/14/1970,Married,Private,Female,2,Yes,Masters,Rolls-Royce,Phantom,Indigo,2009,3,Urban,$48926.61,$145562.95
98-5997820,10/7/1957,Married,Private,Female,0,No,Bachelors,Volvo,C70,Aquamarine,2002,0,Rural,$74616.63,$172536.23
08-9285907,7/26/1986,Single,Private,Male,2,Yes,High School,Audi,5000CS Quattro,Puce,1986,4,Rural,$91420.69,$84382.89
55-7275956,3/3/1974,Married,Private,Female,2,Yes,High School,GMC,Yukon,Khaki,2008,0,Rural,$62133.51,$133376.19
42-0119560,12/18/1991,Single,Private,Female,2,Yes,High School,Mercedes-Benz,M-Class,Khaki,2000,0,Highly Rural,$68592.05,$132006.26
16-7377896,4/11/1965,Single,Private,Male,0,No,Bachelors,Toyota,Echo,Turquoise,2000,0,Highly Urban,$99370.13,$210218.95
09-3497743,11/11/1956,Divorced,Private,Female,2,Yes,Bachelors,Lexus,RX Hybrid,Aquamarine,2008,0,Highly Urban,$21491.93,$192052.35
31-2758420,10/5/1957,Single,Private,Female,0,No,Bachelors,Dodge,Ram Van 3500,Pink,2002,0,Suburban,$28449.13,$227283.53
78-0522384,10/21/1966,Single,Commercial,Female,0,Yes,High School,Nissan,Altima,Teal,2006,1,Rural,$92199.04,$160424.62
56-4348205,9/6/1988,Single,Private,Male,0,No,Bachelors,BMW,5 Series,Teal,2000,0,Highly Rural,$51333.30,$154772.90
49-3756106,2/6/1952,Single,Private,Male,1,Yes,Bachelors,Toyota,Tacoma,Yellow,2006,0,Suburban,$20211.93,$123322.44
30-8434355,8/21/1989,Single,Private,Female,3,Yes,High School,Land Rover,Range Rover,Purple,1995,0,Urban,$98179.57,$91778.47
64-4283411,4/18/1999,Single,Private,Female,0,No,Bachelors,Chevrolet,3500,Crimson,1992,0,Urban,$10369.64,$204636.59
67-6147081,5/9/1965,Married,Private,Female,0,No,Bachelors,GMC,EV1,Fuscia,1999,0,Urban,$77177.31,$190592.22
67-6132969,9/19/1965,Single,Private,Male,0,Yes,High School,Porsche,Cayenne,Violet,2003,0,Rural,$10099.03,$150895.02
15-0493689,5/21/1961,Married,Commercial,Female,0,Yes,High School,Chevrolet,Metro,Red,1998,1,Urban,$61270.25,$74953.50
95-9608139,2/17/1979,Single,Private,Female,0,No,High School,Infiniti,G,Aquamarine,2006,0,Suburban,$27133.98,$183356.60
20-9550072,3/12/2002,Married,Commercial,Male,2,Yes,Bachelors,Infiniti,QX,Violet,2003,0,Suburban,$58978.15,$217740.96
69-5057705,5/9/2002,Married,Private,Male,0,No,PhD,Chevrolet,Lumina,Orange,1996,1,Suburban,$78071.99,$124365.27
19-9173372,1/30/1973,Single,Private,Male,2,Yes,Bachelors,Ford,F350,Yellow,2012,1,Suburban,$13409.32,$168985.68
92-8097286,3/31/1979,Divorced,Private,Male,2,Yes,Masters,Mazda,RX-7,Fuscia,1984,0,Highly Rural,$14927.72,$246092.00
51-9833602,5/30/1979,Single,Private,Male,0,No,High School,Saturn,Astra,Fuscia,2009,0,Highly Urban,$12827.18,$155517.33
46-4458596,6/6/1959,Married,Commercial,Male,0,Yes,High School,Chevrolet,Express 1500,Khaki,2008,0,Urban,$62140.36,$184231.20
52-9960608,2/11/1969,Divorced,Private,Male,0,Yes,PhD,Lincoln,Blackwood,Khaki,2003,1,Highly Rural,$15003.42,$56660.12
02-7319490,11/3/2001,Married,Private,Male,0,No,Bachelors,Cadillac,CTS,Khaki,2012,0,Rural,$30967.55,$227692.68
01-2362105,11/5/1976,Married,Private,Female,0,No,High School,Audi,Cabriolet,Khaki,1997,1,Highly Urban,$49647.97,$170919.64
13-2419959,8/4/2002,Married,Commercial,Female,0,No,High School,Mazda,RX-8,Khaki,2009,0,Suburban,$5807.27,$146995.46
29-4925581,9/6/1951,Married,Private,Female,0,No,Masters,Chevrolet,Tahoe,Pink,2010,0,Rural,$94584.36,$165984.77
44-2203345,4/13/1969,Divorced,Private,Female,0,Yes,Bachelors,Alfa Romeo,Spider,Turquoise,1992,0,Urban,$51924.56,$203432.44
56-6428475,12/12/1992,Divorced,Commercial,Female,0,No,High School,Volkswagen,Corrado,Orange,1992,0,Highly Urban,$64477.93,$96930.05
89-5817970,11/4/1974,Single,Commercial,Female,0,No,High School,Chevrolet,Astro,Fuscia,2000,0,Urban,$99692.69,$52262.54
32-6162526,6/24/1976,Single,Commercial,Male,1,Yes,Bachelors,Saab,9000,Fuscia,1988,1,Highly Urban,$93399.89,$243789.15
53-2938087,8/16/1961,Single,Commercial,Female,1,Yes,Bachelors,Volkswagen,New Beetle,Turquoise,2009,0,Highly Urban,$41986.70,$206548.02
79-9498191,10/26/1981,Single,Private,Female,0,No,Masters,BMW,530,Crimson,2004,0,Urban,$90732.36,$148522.16
65-1853110,1/15/1984,Divorced,Private,Male,1,Yes,Bachelors,Mazda,B-Series,Blue,2005,0,Highly Urban,$59749.71,$59430.70
49-5231523,3/19/1959,Single,Commercial,Male,0,No,Masters,Toyota,Land Cruiser,Purple,1995,0,Suburban,$85736.43,$210238.93
30-4977015,3/28/1979,Married,Private,Female,0,Yes,Bachelors,Mercedes-Benz,G-Class,Teal,2002,0,Urban,$35005.84,$118149.34
73-6115408,7/8/1961,Single,Private,Female,0,No,Bachelors,Mercury,Villager,Turquoise,1993,0,Urban,$86436.34,$169737.88
33-0632130,10/14/1985,Seperated,Commercial,Male,0,Yes,High School,Ford,F250,Orange,1997,0,Suburban,$93545.28,$223313.96
11-5740386,8/11/1961,Single,Private,Male,2,Yes,High School,GMC,Suburban 1500,Teal,1999,0,Highly Rural,$81096.70,$86662.83
25-9995932,4/18/2002,Married,Private,Female,0,No,High School,GMC,Sierra 2500,Puce,2007,0,Urban,$93793.02,$235252.49
55-0279928,4/13/1976,Married,Commercial,Female,1,Yes,Bachelors,Jaguar,XJ Series,Pink,2000,1,Suburban,$98200.93,$221627.45
42-3517198,1/9/1988,Married,Private,Female,1,Yes,Bachelors,Chevrolet,Colorado,Green,2004,0,Suburban,$4346.28,$110020.77
14-8448030,11/6/1976,Single,Commercial,Female,0,No,Masters,Porsche,944,Yellow,1986,0,Highly Rural,$61820.44,$181110.63
09-4168105,6/8/1992,Seperated,Private,Male,1,Yes,High School,Toyota,RAV4,Turquoise,1997,0,Highly Urban,$96500.53,$240352.50
48-4213903,5/21/1954,Married,Private,Female,0,Yes,Bachelors,Mercedes-Benz,M-Class,Purple,2010,0,Urban,$43596.04,$90207.06
99-5865727,4/17/1994,Single,Private,Female,0,No,High School,Pontiac,Turbo Firefly,Indigo,1990,0,Highly Rural,$27553.65,$200075.97
26-6805815,7/10/1952,Single,Private,Male,1,Yes,Bachelors,Land Rover,Discovery Series II,Yellow,2000,1,Highly Urban,$53671.19,$230256.56
47-1193543,4/3/1963,Seperated,Private,Male,0,No,Bachelors,Dodge,D350,Turquoise,1992,4,Highly Urban,$24786.85,$69495.63
15-3102305,11/17/1975,Single,Private,Male,1,Yes,High School,BMW,M3,Maroon,1999,0,Highly Rural,$58226.50,$75383.08
99-8857455,8/14/1997,Married,Private,Female,0,No,High School,Subaru,XT,Yellow,1990,0,Highly Rural,$26639.46,$64996.75
00-9283581,7/30/1997,Single,Private,Female,0,No,Masters,GMC,Yukon,Crimson,2010,0,Highly Rural,$87774.72,$86072.84
25-6069517,3/2/1956,Married,Private,Male,0,No,Bachelors,Mazda,Miata MX-5,Maroon,1996,0,Highly Urban,$63398.00,$226373.92
84-5026786,10/13/1960,Single,Commercial,Female,0,No,Bachelors,Honda,CR-V,Goldenrod,1998,0,Highly Urban,$66405.41,$62836.96
47-2155638,12/4/1958,Single,Private,Male,0,Yes,High School,Mercury,Grand Marquis,Blue,2008,4,Urban,$42482.18,$134016.42
95-7967867,3/19/1958,Divorced,Private,Female,0,No,Masters,Toyota,Camry Solara,Turquoise,2008,2,Highly Urban,$29120.98,$108981.48
06-9130067,5/13/1954,Divorced,Commercial,Female,1,Yes,Bachelors,Pontiac,G5,Orange,2009,4,Highly Rural,$20797.09,$210087.94
81-5073693,12/1/1972,Married,Commercial,Male,0,No,Bachelors,Ford,Taurus,Puce,1997,0,Suburban,$94068.19,$47059.22
94-1297699,1/15/1971,Single,Private,Male,0,No,High School,Mitsubishi,Raider,Goldenrod,2008,0,Suburban,$57709.77,$208154.91
39-9674439,4/23/1959,Single,Private,Female,0,No,Masters,Jaguar,XJ Series,Blue,2002,0,Suburban,$89310.40,$115089.15
11-8878566,1/22/1998,Single,Private,Female,2,Yes,Bachelors,Ford,Aerostar,Red,1991,0,Urban,$56749.56,$111483.74
30-7622078,9/27/1977,Seperated,Private,Female,0,Yes,Bachelors,Ford,F250,Crimson,2008,0,Highly Urban,$18195.94,$164591.60
10-7596946,11/10/1964,Single,Private,Male,0,Yes,Bachelors,Subaru,XT,Mauv,1987,0,Rural,$38931.86,$145688.51
19-4198302,9/27/1997,Married,Commercial,Female,2,Yes,Bachelors,Land Rover,Sterling,Orange,1991,0,Highly Urban,$84868.60,$104860.44
62-1076237,5/3/1959,Divorced,Private,Male,0,No,High School,Pontiac,Grand Am,Aquamarine,1998,0,Rural,$75977.61,$52880.87
86-7644595,8/2/1996,Single,Commercial,Male,0,No,Bachelors,Saab,9-3,Yellow,2000,0,Suburban,$66851.34,$165815.53
52-9229751,9/23/1981,Married,Private,Male,1,Yes,Bachelors,Toyota,Corolla,Mauv,2008,0,Highly Rural,$78439.79,$51219.43
20-3591079,4/12/1974,Married,Private,Female,0,No,High School,Jaguar,S-Type,Orange,2000,0,Highly Rural,$17403.44,$157197.93
23-8673922,3/19/1979,Single,Private,Male,0,No,Masters,Plymouth,Horizon,Fuscia,1978,0,Highly Rural,$23156.99,$85057.70
24-7462058,11/28/1952,Married,Commercial,Male,0,No,Bachelors,Chevrolet,Camaro,Blue,1977,1,Highly Urban,$35022.50,$69002.80
61-5955620,9/15/1976,Married,Private,Male,1,Yes,Bachelors,Suzuki,Samurai,Khaki,1995,2,Highly Rural,$68334.35,$178084.14
13-4486444,10/23/1958,Single,Private,Male,0,No,Bachelors,Mazda,Mazda6,Puce,2005,0,Highly Rural,$65667.92,$179277.58
78-4354864,1/1/1996,Single,Private,Male,0,Yes,High School,Cadillac,STS-V,Teal,2006,0,Rural,$30270.56,$157827.41
72-9368667,5/27/1973,Married,Private,Male,1,Yes,Bachelors,Ford,Bronco II,Indigo,1990,1,Highly Rural,$45483.92,$192131.71
06-3011168,6/10/2001,Seperated,Private,Female,0,No,Bachelors,GMC,Jimmy,Orange,2000,0,Rural,$18251.51,$86769.61
72-0745808,8/5/1973,Married,Private,Male,0,No,High School,Nissan,Cube,Green,2010,0,Suburban,$34235.98,$50292.73
96-9503507,4/23/1979,Married,Private,Female,0,No,Bachelors,Mitsubishi,Pajero,Yellow,1995,0,Highly Urban,$57745.27,$136530.48
26-1361128,8/7/1961,Single,Private,Male,1,Yes,PhD,Buick,Park Avenue,Indigo,1995,3,Suburban,$47750.81,$154941.46
36-3174923,8/19/1989,Divorced,Private,Female,0,No,Masters,Lexus,LS,Violet,1993,0,Suburban,$12438.13,$54095.10
54-6979302,2/20/1973,Married,Private,Male,1,Yes,High School,Mitsubishi,Galant,Puce,2007,0,Highly Urban,$3674.42,$221233.92
19-1219384,2/2/1955,Seperated,Private,Female,2,Yes,PhD,GMC,Envoy,Blue,2002,2,Highly Rural,$39023.63,$216023.57
16-5761695,12/6/2000,Seperated,Private,Male,0,No,High School,Saab,9000,Indigo,1986,1,Rural,$67602.29,$68895.56
44-7162491,3/15/1958,Married,Private,Female,1,Yes,Bachelors,BMW,8 Series,Puce,1993,0,Urban,$52050.33,$120169.25
29-8317594,2/20/1966,Married,Private,Male,0,Yes,Bachelors,Toyota,Previa,Teal,1995,0,Suburban,$83941.06,$243861.97
82-0686410,6/10/1963,Married,Private,Female,2,Yes,Bachelors,Ford,Explorer,Pink,1995,2,Highly Rural,$62248.13,$171706.20
89-9005689,8/14/1981,Married,Commercial,Female,0,No,Bachelors,Chevrolet,Suburban 2500,Khaki,2000,0,Highly Rural,$9370.98,$58150.24
81-4235669,3/11/1981,Seperated,Private,Male,0,Yes,Bachelors,Pontiac,Firebird,Goldenrod,1998,0,Highly Urban,$35262.47,$197901.32
64-1552306,1/21/1959,Married,Commercial,Male,0,Yes,Bachelors,Toyota,Camry Solara,Fuscia,2006,0,Highly Rural,$14721.89,$132117.69
33-7929181,3/4/2002,Single,Private,Female,1,Yes,High School,Kia,Sephia,Khaki,2000,0,Urban,$87524.34,$142983.55
95-3707868,2/13/1986,Married,Private,Female,1,Yes,Bachelors,Ford,Mustang,Puce,1999,1,Highly Rural,$85748.52,$241960.27
33-7610144,6/19/1958,Single,Private,Female,0,Yes,Bachelors,Ford,Thunderbird,Green,1980,0,Highly Rural,$618.63,$162075.32
29-1023316,4/2/1998,Single,Private,Female,0,No,Bachelors,Mazda,Miata MX-5,Red,2003,3,Suburban,$74869.42,$166616.91
43-1206977,8/25/1955,Seperated,Private,Female,0,Yes,Bachelors,Mitsubishi,Galant,Fuscia,1989,0,Highly Rural,$24190.07,$133172.07
83-5162328,5/26/1974,Married,Private,Female,0,No,Bachelors,Honda,S2000,Green,2003,0,Suburban,$13856.66,$197576.29
96-6956035,2/8/1958,Single,Private,Female,0,No,Bachelors,Ford,E-Series,Goldenrod,2012,1,Highly Rural,$95775.86,$240812.41
96-6059489,8/24/1996,Married,Private,Female,2,Yes,High School,Isuzu,Rodeo,Aquamarine,1996,1,Rural,$58078.40,$235729.97
87-7419308,7/13/1950,Divorced,Commercial,Male,0,No,Masters,Nissan,300ZX,Goldenrod,1992,0,Highly Rural,$3841.62,$136099.10
09-0900539,11/27/1980,Married,Private,Male,0,No,Bachelors,Hyundai,Sonata,Puce,2007,0,Highly Urban,$74111.84,$155135.88
75-4443754,10/19/1970,Seperated,Private,Male,0,No,High School,Mitsubishi,GTO,Maroon,1997,1,Suburban,$28058.15,$114736.48
66-7981226,4/25/1999,Married,Commercial,Female,1,Yes,Bachelors,Buick,Terraza,Crimson,2006,0,Highly Urban,$67730.85,$67366.62
81-7601740,8/1/1965,Single,Commercial,Male,1,Yes,Bachelors,Pontiac,Vibe,Turquoise,2004,0,Highly Urban,$74684.43,$129738.38
13-3751261,6/14/1967,Divorced,Private,Female,0,No,Bachelors,Hyundai,Elantra,Purple,1994,4,Suburban,$47507.74,$92419.54
59-1885642,9/17/1995,Single,Private,Male,1,Yes,Bachelors,GMC,Safari,Turquoise,1994,0,Highly Urban,$56501.38,$132040.01
77-1805454,7/21/1988,Single,Commercial,Female,2,Yes,Bachelors,Dodge,Intrepid,Pink,2000,3,Urban,$54630.98,$69981.21
10-6738381,7/17/1991,Divorced,Private,Male,2,Yes,High School,Mitsubishi,Raider,Khaki,2007,0,Highly Rural,$93986.66,$232991.69
44-8857084,2/24/1989,Single,Private,Female,0,Yes,Masters,Audi,R8,Red,2010,0,Suburban,$30542.56,$52130.15
44-2415969,11/28/1958,Single,Private,Male,1,Yes,PhD,Lexus,GS,Pink,2000,1,Rural,$83505.62,$64478.77
46-2458193,3/8/1993,Single,Private,Male,0,No,PhD,Mitsubishi,Mirage,Pink,1988,0,Suburban,$56213.20,$186153.01
83-7482924,12/3/1967,Single,Commercial,Female,0,No,High School,Scion,tC,Blue,2008,1,Urban,$22212.28,$133907.09
29-3334184,9/15/1961,Single,Private,Male,0,No,Bachelors,Hyundai,Santa Fe,Aquamarine,2003,0,Urban,$35149.61,$160996.95
71-8487444,4/4/1963,Divorced,Private,Male,1,Yes,Bachelors,Nissan,Maxima,Turquoise,1999,0,Highly Rural,$91110.11,$241887.27
05-1280179,11/15/1990,Single,Private,Female,0,No,Bachelors,Toyota,Solara,Pink,2003,0,Rural,$8344.62,$153728.41
87-9083259,8/18/2000,Divorced,Private,Female,0,No,High School,Lincoln,MKT,Orange,2013,0,Rural,$22780.29,$139866.13
13-3638099,7/31/1989,Single,Private,Female,0,No,Masters,Nissan,Maxima,Fuscia,1997,3,Suburban,$14150.94,$93349.89
24-6100701,10/23/1976,Single,Commercial,Male,2,Yes,Masters,Isuzu,i-290,Purple,2008,1,Highly Urban,$24321.55,$156567.95
97-0177186,7/18/1988,Single,Private,Male,0,No,Masters,Oldsmobile,Achieva,Red,1994,0,Suburban,$74346.90,$93539.05
17-5496372,10/6/1965,Single,Private,Male,0,No,Masters,Ford,Bronco II,Aquamarine,1989,3,Urban,$68103.47,$235302.13
11-7120867,1/13/1972,Divorced,Commercial,Female,0,Yes,High School,Aston Martin,DB9,Yellow,2010,0,Highly Urban,$9932.39,$46101.36
40-0489918,9/13/1982,Single,Private,Female,0,No,Bachelors,Mazda,Mazda2,Pink,2011,0,Highly Rural,$91646.32,$68889.78
54-3060265,8/4/2001,Married,Commercial,Male,0,No,High School,Buick,Roadmaster,Pink,1993,1,Rural,$47158.60,$93500.71
74-6946342,10/11/1983,Seperated,Private,Female,1,Yes,Bachelors,Toyota,4Runner,Yellow,2007,0,Suburban,$12867.32,$155995.81
04-9187840,9/17/1954,Seperated,Private,Male,0,No,Bachelors,GMC,Envoy XL,Yellow,2005,0,Highly Rural,$39633.49,$185568.09
19-4640479,8/4/1996,Divorced,Private,Male,0,No,High School,Land Rover,Defender 110,Mauv,1993,0,Rural,$33136.78,$97594.58
02-8178562,8/9/1989,Divorced,Private,Female,0,No,Masters,GMC,Safari,Red,2002,4,Highly Urban,$74748.04,$83763.07
79-5830920,10/20/1985,Divorced,Commercial,Male,0,No,Bachelors,Hyundai,Azera,Goldenrod,2007,2,Highly Rural,$53551.98,$139580.04
25-3467907,5/11/1954,Single,Private,Female,0,No,High School,GMC,Vandura G3500,Fuscia,1996,0,Suburban,$87423.19,$108796.61
66-5810339,12/6/1960,Single,Private,Female,0,No,Bachelors,BMW,M3,Fuscia,2010,0,Urban,$59500.76,$71999.57
94-3704521,3/3/1993,Married,Private,Female,0,No,Masters,Isuzu,Ascender,Crimson,2007,0,Rural,$71575.80,$196098.69
85-3477680,7/29/1987,Single,Commercial,Female,0,No,PhD,Lexus,LX,Indigo,2002,0,Highly Urban,$25998.93,$72162.83
89-0345120,2/22/1953,Single,Private,Female,0,No,Bachelors,Jeep,Grand Cherokee,Maroon,1998,0,Suburban,$30698.91,$62257.46
32-9725526,6/20/1971,Single,Commercial,Female,0,No,Masters,Infiniti,J,Orange,1996,1,Highly Urban,$26522.44,$243571.77
76-3571646,1/26/1991,Single,Private,Male,0,Yes,High School,Pontiac,Montana SV6,Maroon,2005,0,Suburban,$26661.81,$65133.20
53-2099862,3/18/1960,Single,Private,Female,0,No,Bachelors,Kia,Sedona,Maroon,2009,0,Urban,$20627.56,$221554.24
14-0119678,2/15/1958,Single,Commercial,Male,1,Yes,Bachelors,Jaguar,XJ Series,Orange,1994,0,Urban,$20506.58,$79166.39
77-5270456,7/2/1966,Married,Private,Male,2,Yes,Bachelors,Mazda,Mazda2,Teal,2011,0,Urban,$4448.89,$196286.24
28-9125919,7/8/1990,Married,Private,Male,0,No,Bachelors,Maybach,57,Orange,2008,0,Highly Rural,$91766.32,$118567.76
06-1363971,3/19/1960,Single,Private,Female,0,No,Bachelors,Isuzu,Axiom,Khaki,2004,1,Highly Rural,$98164.02,$211127.52
73-3654297,9/22/1998,Single,Private,Male,1,Yes,Bachelors,Buick,Electra,Fuscia,1984,1,Highly Urban,$67999.03,$160257.85
06-2265966,3/13/2001,Seperated,Private,Female,0,No,Bachelors,Saturn,S-Series,Green,1998,4,Rural,$99331.45,$165504.66
82-8142931,4/26/1989,Divorced,Commercial,Male,0,No,PhD,Volvo,240,Mauv,1992,0,Urban,$31824.40,$219599.72
97-4221804,4/27/1996,Single,Private,Male,0,Yes,Masters,Nissan,NX,Fuscia,1993,0,Highly Urban,$8058.34,$204138.10
01-8214572,10/15/1963,Divorced,Private,Male,0,Yes,Bachelors,Hyundai,Tucson,Purple,2008,1,Suburban,$88163.43,$223041.92
72-6632592,8/23/1986,Single,Commercial,Male,0,No,Bachelors,Mitsubishi,Diamante,Teal,2005,0,Rural,$68957.18,$235165.76
82-6238527,3/26/1988,Single,Private,Male,0,No,Bachelors,Suzuki,SJ,Red,1995,0,Highly Rural,$24578.91,$173532.15
00-5427733,3/30/1956,Married,Commercial,Female,0,Yes,Bachelors,Plymouth,Laser,Mauv,1989,0,Highly Rural,$45965.74,$239221.53
